Year,Loan Number,FHLBankID,Program,FIPSStateCode,FIPSCountyCode,MSA,FeatureID,Tract,MinPer,TraMedY,LocMedY,Tractrat,Income,CurAreY,IncRat,UPB,LTV,MortDate,AcquDate,Purpose,Coop,Product,FedGuar,Term,AmorTerm,FHFBID,Seller,SellCity,SellSt,SellType,NumBor,First,CICA,BoRace,CoRace,BoGender,CoGender,BoAge,CoAge,Occup,NumUnits,Bed1,Bed2,Bed3,Bed4,Aff1,Aff2,Aff3,Aff4,Rent1,Rent2,Rent3,Rent4,RentUt1,RentUt2,RentUt3,RentUt4,Geog,Rate,Amount,Front,Back,Borrower Credit Score,CoBorrower Credit Score,PMI,Self,PropType,ArmIndex,ArmMarg,PrepayP,BoEth,Race2,Race3,Race4,Race5,CoEth,Corace2,Corace3,Corace4,Corace5,HOEPA,LienStatus,SpcHsgGoals,FedFinStbltyPlan,AcqTyp,GSEREO
2014,22019,Indianapolis,06,26,137,99999,0001626341,9505.00,4.03,55417,51187,0.99,113259,51700,2.1907,220000,0.8,2013,2014,1,2,1,0,360,360,14478,Citizens National Bank o,Cheboygan,MI,1,2,2,9,5,5,2,1,50,71,1,1,98,98,98,98,2,2,2,2,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,2,0.0438,220000,0.15,0.41,4,4,0,2,PT01,99,99999,12/31/9999,2,6,6,6,6,5,8,8,8,8,2,1,2,2,1,2
2014,22020,Indianapolis,06,26,137,99999,0001626341,9506.00,3.39,59674,51187,0.99,46704,53900,0.8665,105000,0.75,2014,2014,2,2,1,0,180,180,14717,Community Financial Cred,Plymouth,MI,1,2,2,9,7,7,3,3,53,55,1,1,98,98,98,98,2,2,2,2,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,2,0.0313,105000,0.31,0.31,4,4,0,2,PT01,99,99999,12/31/9999,2,6,6,6,6,5,8,8,8,8,2,1,1,2,1,2
2014,22021,Indianapolis,06,26,137,99999,0001626341,9502.00,3.54,66944,51187,0.99,106572,53900,1.9772,114183,0.89,2014,2014,2,2,1,0,240,240,14717,Community Financial Cred,Plymouth,MI,1,2,2,9,5,5,1,2,34,34,1,1,98,98,98,98,2,2,2,2,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,2,0.0388,114500,0.1,0.1,4,4,0,2,PT01,99,99999,12/31/9999,2,6,6,6,6,5,8,8,8,8,2,1,2,2,1,2
2014,22022,Indianapolis,06,26,137,99999,0001626341,9505.00,4.03,55417,51187,0.99,176021,51700,3.4047,152100,0.9,2014,2014,1,2,1,0,360,360,54325,Talmer Bank and Trust fk,Troy,MI,1,2,2,9,5,5,1,2,99,99,2,1,98,98,98,98,2,2,2,2,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,2,0.045,152100,0.09,0.39,5,5,0,2,PT01,99,99999,12/31/9999,2,6,6,6,6,5,8,8,8,8,2,1,2,2,1,2
2014,22023,Indianapolis,06,26,137,99999,0001626341,9505.00,4.03,55417,51187,0.99,284976,53900,5.2871,417000,0.74,2014,2014,2,2,1,0,240,240,14717,Community Financial Cred,Plymouth,MI,1,2,2,9,5,5,1,2,36,36,1,1,98,98,98,98,2,2,2,2,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,2,0.0363,417000,0.14,0.14,4,5,0,2,PT01,99,99999,12/31/9999,2,6,6,6,6,2,6,6,6,6,2,1,1,2,1,2
2014,22024,Indianapolis,06,26,137,99999,0001626341,9506.00,3.39,59674,51187,0.99,100548,53900,1.8655,198500,0.78,2014,2014,2,2,1,0,240,240,14717,Community Financial Cred,Plymouth,MI,1,2,2,9,2,2,1,2,54,46,1,1,98,98,98,98,2,2,2,2,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,2,0.035,198500,0.18,0.18,5,5,0,2,PT07,99,99999,12/31/9999,2,6,6,6,6,5,8,8,8,8,2,1,2,2,1,2
2014,22025,Indianapolis,06,26,137,99999,0001626341,9506.00,3.39,59674,51187,0.99,63720,51700,1.2325,124828,0.8,2014,2014,2,2,1,0,360,360,14717,Community Financial Cred,Plymouth,MI,1,2,2,9,5,5,3,3,60,62,1,1,98,98,98,98,2,2,2,2,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,2,0.0425,125000,0.15,0.34,4,5,0,2,PT01,99,99999,12/31/9999,1,6,6,6,6,1,6,6,6,6,2,1,2,2,1,2
2014,22026,Indianapolis,06,26,137,99999,0002400045,9501.00,3.43,48548,51187,0.99,64560,51700,1.2487,135000,0.69,2014,2014,2,2,1,0,360,360,14717,Community Financial Cred,Plymouth,MI,1,2,2,9,5,5,3,3,86,82,1,1,98,98,98,98,2,2,2,2,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,2,0.045,135000,0.15,0.15,5,5,0,2,PT01,99,99999,12/31/9999,2,6,6,6,6,2,6,6,6,6,2,1,1,2,4,2
2014,22027,Indianapolis,06,26,137,99999,0001626341,9502.00,3.54,66944,51187,0.99,126492,53900,2.3468,80000,0.56,2014,2014,1,2,1,0,180,180,53704,Hantz Bank,Southfield,MI,1,2,2,9,5,5,1,2,34,33,2,1,98,98,98,98,2,2,2,2,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,2,0.0363,80000,0.08,0.28,5,5,0.3,2,PT01,99,99999,12/31/9999,2,6,6,6,6,5,8,8,8,8,2,1,1,2,4,2
2014,22028,Indianapolis,06,26,137,99999,0001626341,9503.00,6.26,45138,51187,0.99,92100,53900,1.7087,163400,0.95,2014,2014,1,2,1,0,360,360,14717,Community Financial Cred,Plymouth,MI,1,2,2,9,5,5,1,2,40,35,1,1,98,98,98,98,2,2,2,2,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,2,0.0388,163400,0.13,0.13,5,5,0,2,PT01,99,99999,12/31/9999,2,6,6,6,6,5,8,8,8,8,2,1,2,2,1,2
2014,22029,Indianapolis,06,26,139,24340,0001626478,0249.00,28.34,47530,61182,0.77,36792,64600,0.5695,79400,0.58,2014,2014,1,2,1,0,180,180,16407,Northpointe Bank,Grand Rapids,MI,1,2,1,9,5,5,2,1,26,27,1,1,98,98,98,98,2,2,2,2,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,2,0.0325,79400,0.3,0.39,4,9,0,2,PT01,99,99999,12/31/9999,2,6,6,6,6,2,6,6,6,6,2,1,2,2,1,2
2014,22030,Indianapolis,06,26,139,24340,0001626478,0221.08,7.87,89079,61182,1.45,123996,65100,1.9047,182000,0.66,2014,2014,1,2,1,0,180,180,16407,Northpointe Bank,Grand Rapids,MI,1,2,2,9,2,2,2,1,24,99,1,1,98,98,98,98,2,2,2,2,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,2,0.0325,182000,0.17,0.18,3,3,0,2,PT01,99,99999,12/31/9999,2,6,6,6,6,2,6,6,6,6,2,1,2,2,1,2
2014,22031,Indianapolis,06,26,139,24340,0000629253,0246.00,7.18,78485,61182,1.28,93324,64600,1.4446,194711,0.92,2014,2014,1,2,1,0,360,360,16407,Northpointe Bank,Grand Rapids,MI,1,2,1,9,5,5,1,2,99,99,1,1,98,98,98,98,2,2,2,2,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,2,0.0425,194711,0.16,0.18,3,3,0,2,PT01,99,99999,12/31/9999,2,6,6,6,6,5,8,8,8,8,2,1,2,2,1,2
2014,22032,Indianapolis,06,26,139,24340,0001627302,0231.00,42.02,54063,61182,0.88,70944,64600,1.0982,151761,0.87,2014,2014,1,2,1,0,360,360,16407,Northpointe Bank,Grand Rapids,MI,1,2,2,9,5,5,1,2,99,99,1,1,98,98,98,98,2,2,2,2,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,2,0.0425,151761,0.18,0.21,3,3,0,2,PT01,99,99999,12/31/9999,2,6,6,6,6,5,8,8,8,8,2,1,2,2,1,2
2014,22033,Indianapolis,06,26,139,24340,0001627302,0230.02,8.65,63438,61182,1.03,70803,65100,1.0876,210000,0.74,2014,2014,1,2,1,0,360,360,15935,The Bank of Holland,Holland,MI,1,2,2,9,5,5,1,2,43,43,1,1,98,98,98,98,2,2,2,2,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,2,0.04,210000,0.17,0.23,4,4,0,2,PT12,99,99999,12/31/9999,1,6,6,6,6,1,6,6,6,6,2,1,2,2,1,2
2014,22034,Indianapolis,06,26,139,24340,0002399877,0206.00,5.59,62634,61182,1.02,102552,64600,1.5875,189359,0.95,2014,2014,1,2,1,0,360,360,16407,Northpointe Bank,Grand Rapids,MI,1,2,2,9,5,5,1,2,38,34,1,1,98,98,98,98,2,2,2,2,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,2,0.0425,189620,0.16,0.29,4,4,0.25,2,PT01,99,99999,12/31/9999,2,6,6,6,6,5,8,8,8,8,2,1,1,2,1,2
2014,22035,Indianapolis,06,26,139,24340,0001626478,0257.00,22.81,57636,61182,0.94,61104,64600,0.9459,113905,0.95,2014,2014,1,2,1,0,360,360,16407,Northpointe Bank,Grand Rapids,MI,1,2,1,9,5,5,1,2,28,29,1,1,98,98,98,98,2,2,2,2,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,2,0.0425,113905,0.19,0.23,5,4,0,2,PT01,99,99999,12/31/9999,3,6,6,6,6,1,6,6,6,6,2,1,2,2,1,2
